Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020.csv,2020
2,Demon Slayer: Mugen Train,"$454,779,627","$49,505,008",10.9%,"$405,274,619",89.1%,2020.csv,2020
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020.csv,2020
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020.csv,2020
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%,2020.csv,2020
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020.csv,2020
7,Dolittle,"$245,438,444","$77,047,065",31.4%,"$168,391,379",68.6%,2020.csv,2020
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%,2020.csv,2020
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020.csv,2020
10,The Croods 2: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020.csv,2020
11,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020.csv,2020
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020.csv,2020
13,Wonder Woman 1984,"$166,801,036","$46,801,036",28.1%,"$120,000,000",71.9%,2020.csv,2020
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020.csv,2020
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%,2020.csv,2020
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020.csv,2020
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020.csv,2020
18,Soul,"$120,957,731",-,-,"$120,957,731",100%,2020.csv,2020
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%,2020.csv,2020
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,2020.csv,2020
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,2020.csv,2020
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%,2020.csv,2020
23,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%,2020.csv,2020
24,The Rescue,"$64,195,986","$18,797",<0.1%,"$64,177,189",100%,2020.csv,2020
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,2020.csv,2020
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%,2020.csv,2020
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,2020.csv,2020
28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%,2020.csv,2020
29,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%,2020.csv,2020
30,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%,2020.csv,2020
31,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,2020.csv,2020
32,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%,2020.csv,2020
33,Trolls World Tour,"$47,196,831",-,-,"$47,196,831",100%,2020.csv,2020
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,2020.csv,2020
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,2020.csv,2020
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,2020.csv,2020
37,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%,2020.csv,2020
38,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%,2020.csv,2020
39,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020.csv,2020
40,The War with Grandpa,"$40,709,936","$21,277,892",52.3%,"$19,432,044",47.7%,2020.csv,2020
41,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%,2020.csv,2020
42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%,2020.csv,2020
43,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%,2020.csv,2020
44,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%,2020.csv,2020
45,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%,2020.csv,2020
46,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%,2020.csv,2020
47,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%,2020.csv,2020
48,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%,2020.csv,2020
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%,2020.csv,2020
50,Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%,2020.csv,2020
51,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%,2020.csv,2020
52,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%,2020.csv,2020
53,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%,2020.csv,2020
54,Scoob!,"$27,088,425","$2,188,425",8.1%,"$24,900,000",91.9%,2020.csv,2020
55,The Witches,"$26,900,000",-,-,"$26,900,000",100%,2020.csv,2020
56,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%,2020.csv,2020
57,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%,2020.csv,2020
58,The Father,"$24,289,294","$2,122,771",8.7%,"$22,166,523",91.3%,2020.csv,2020
59,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%,2020.csv,2020
60,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%,2020.csv,2020
61,Poupelle of Chimney Town,"$21,830,600",-,-,"$21,830,600",100%,2020.csv,2020
62,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%,2020.csv,2020
63,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%,2020.csv,2020
64,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%,2020.csv,2020
65,Yarn,"$20,474,270",-,-,"$20,474,270",100%,2020.csv,2020
66,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%,2020.csv,2020
67,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020.csv,2020
68,Ice 2,"$19,788,995",-,-,"$19,788,995",100%,2020.csv,2020
69,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%,2020.csv,2020
70,The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%,2020.csv,2020
71,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%,2020.csv,2020
72,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%,2020.csv,2020
73,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%,2020.csv,2020
74,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%,2020.csv,2020
75,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%,2020.csv,2020
76,Promising Young Woman,"$17,135,557","$6,460,965",37.7%,"$10,674,592",62.3%,2020.csv,2020
77,Digimon Adventure: Last Evolution Kizuna,"$17,096,687",-,-,"$17,096,687",100%,2020.csv,2020
78,Bye Bye Morons,"$16,955,173",-,-,"$16,955,173",100%,2020.csv,2020
79,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%,2020.csv,2020
80,I Still Believe,"$16,069,730","$9,868,521",61.4%,"$6,201,209",38.6%,2020.csv,2020
81,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%,2020.csv,2020
82,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%,2020.csv,2020
83,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%,2020.csv,2020
84,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%,2020.csv,2020
85,Nightlife,"$14,308,789",-,-,"$14,308,789",100%,2020.csv,2020
86,Pawn,"$14,193,957",-,-,"$14,193,957",100%,2020.csv,2020
87,#Alive,"$13,432,212",-,-,"$13,432,212",100%,2020.csv,2020
88,Howling Village,"$13,394,556",-,-,"$13,394,556",100%,2020.csv,2020
89,Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%,2020.csv,2020
90,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%,2020.csv,2020
91,Another Round,"$12,686,885",-,-,"$12,686,885",100%,2020.csv,2020
92,News of the World,"$12,668,325","$12,668,325",100%,-,-,2020.csv,2020
93,Collectors,"$12,640,113",-,-,"$12,640,113",100%,2020.csv,2020
94,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%,2020.csv,2020
95,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%,2020.csv,2020
96,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%,2020.csv,2020
97,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%,2020.csv,2020
98,Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%,2020.csv,2020
99,The Hunt,"$11,481,750","$5,812,500",50.6%,"$5,669,250",49.4%,2020.csv,2020
100,30 jours max,"$10,998,969",-,-,"$10,998,969",100%,2020.csv,2020
101,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%,2020.csv,2020
102,Bigfoot Family,"$10,855,626",-,-,"$10,855,626",100%,2020.csv,2020
103,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%,2020.csv,2020
104,One Second,"$10,750,202",-,-,"$10,750,202",100%,2020.csv,2020
105,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-,2020.csv,2020
106,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%,2020.csv,2020
107,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%,2020.csv,2020
108,My Spy,"$10,200,000",-,-,"$10,200,000",100%,2020.csv,2020
109,The Asadas,"$10,066,797",-,-,"$10,066,797",100%,2020.csv,2020
110,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",4.6%,"$9,588,094",95.4%,2020.csv,2020
111,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%,2020.csv,2020
112,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%,2020.csv,2020
113,Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%,2020.csv,2020
114,365 Days,"$9,458,590",-,-,"$9,458,590",100%,2020.csv,2020
115,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%,2020.csv,2020
116,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%,2020.csv,2020
117,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%,2020.csv,2020
118,The Closet,"$9,036,145",-,-,"$9,036,145",100%,2020.csv,2020
119,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%,2020.csv,2020
120,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%,2020.csv,2020
121,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%,2020.csv,2020
122,100% Wolf,"$8,906,757","$658,764",7.4%,"$8,247,993",92.6%,2020.csv,2020
123,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%,2020.csv,2020
124,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%,2020.csv,2020
125,The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%,2020.csv,2020
126,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%,2020.csv,2020
127,Malang,"$8,399,765",-,-,"$8,399,765",100%,2020.csv,2020
128,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,2020.csv,2020
129,AI Amok,"$7,932,191",-,-,"$7,932,191",100%,2020.csv,2020
130,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,2020.csv,2020
131,Antoinette dans les Cévennes,"$7,800,173",-,-,"$7,800,173",100%,2020.csv,2020
132,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%,2020.csv,2020
133,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%,2020.csv,2020
134,Smack Dab Kakha,"$7,692,780",-,-,"$7,692,780",100%,2020.csv,2020
135,Two by Two: Overboard!,"$7,682,182",-,-,"$7,682,182",100%,2020.csv,2020
136,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%,2020.csv,2020
137,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%,2020.csv,2020
138,De Gaulle,"$7,501,454",-,-,"$7,501,454",100%,2020.csv,2020
139,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%,2020.csv,2020
140,"Turu, the Wacky Hen","$7,431,553",-,-,"$7,431,553",100%,2020.csv,2020
141,The Best Years,"$7,340,132",-,-,"$7,340,132",100%,2020.csv,2020
142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,678",-,-,"$7,209,678",100%,2020.csv,2020
143,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%,2020.csv,2020
144,Bohemian Rhapsody 2020 Re-release,"$7,154,052","$240,000",3.4%,"$6,914,052",96.6%,2020.csv,2020
145,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%,2020.csv,2020
146,Adu,"$7,085,946",-,-,"$7,085,946",100%,2020.csv,2020
147,Antebellum,"$7,060,384",-,-,"$7,060,384",100%,2020.csv,2020
148,Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%,2020.csv,2020
149,Spycies,"$6,989,285",-,-,"$6,989,285",100%,2020.csv,2020
150,Jim Button and the Wild 13,"$6,921,652",-,-,"$6,921,652",100%,2020.csv,2020
151,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%,2020.csv,2020
152,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%,2020.csv,2020
153,Dragon Rider,"$6,701,556",-,-,"$6,701,556",100%,2020.csv,2020
154,Innocence,"$6,659,968",-,-,"$6,659,968",100%,2020.csv,2020
155,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%,2020.csv,2020
156,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%,2020.csv,2020
157,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%,2020.csv,2020
158,Hammamet,"$6,434,874",-,-,"$6,434,874",100%,2020.csv,2020
159,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%,2020.csv,2020
160,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%,2020.csv,2020
161,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%,2020.csv,2020
162,Simply Black,"$6,323,750",-,-,"$6,323,750",100%,2020.csv,2020
163,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020.csv,2020
164,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%,2020.csv,2020
165,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%,2020.csv,2020
166,How to Be a Good Wife,"$6,029,102",-,-,"$6,029,102",100%,2020.csv,2020
167,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%,2020.csv,2020
168,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020.csv,2020
169,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%,2020.csv,2020
170,The Lion King 2020 Re-release,"$5,948,352",-,-,"$5,948,352",100%,2020.csv,2020
171,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%,2020.csv,2020
172,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%,2020.csv,2020
173,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%,2020.csv,2020
174,Last Letter,"$5,663,972",-,-,"$5,663,972",100%,2020.csv,2020
175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%,2020.csv,2020
176,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%,2020.csv,2020
177,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%,2020.csv,2020
178,Mama Weed,"$5,432,038","$29,151",0.5%,"$5,402,887",99.5%,2020.csv,2020
179,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%,2020.csv,2020
180,A Piece of Cake,"$5,253,994",-,-,"$5,253,994",100%,2020.csv,2020
181,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%,2020.csv,2020
182,Run,"$5,184,368",-,-,"$5,184,368",100%,2020.csv,2020
183,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%,2020.csv,2020
184,Masked Ward,"$5,107,013",-,-,"$5,107,013",100%,2020.csv,2020
185,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%,2020.csv,2020
186,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%,2020.csv,2020
187,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%,2020.csv,2020
188,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%,2020.csv,2020
189,Mayday,"$5,011,408",-,-,"$5,011,408",100%,2020.csv,2020
190,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%,2020.csv,2020
191,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%,2020.csv,2020
192,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%,2020.csv,2020
