Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
174,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%,2021.csv,2021
175,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%,2021.csv,2021
176,Delicious,"$8,342,846",-,-,"$8,342,846",100%,2021.csv,2021
177,The Protégé,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%,2021.csv,2021
178,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%,2021.csv,2021
179,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%,2021.csv,2021
180,Ainbo,"$8,133,281",-,-,"$8,133,281",100%,2021.csv,2021
181,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%,2021.csv,2021
182,The Medium,"$7,970,149",-,-,"$7,970,149",100%,2021.csv,2021
183,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%,2021.csv,2021
184,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%,2021.csv,2021
185,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%,2021.csv,2021
186,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%,2021.csv,2021
187,Dad,"$7,544,581",-,-,"$7,544,581",100%,2021.csv,2021
188,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%,2021.csv,2021
189,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%,2021.csv,2021
190,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%,2021.csv,2021
191,'83,"$7,349,452","$4,055,660",55.2%,"$3,293,792",44.8%,2021.csv,2021
192,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%,2021.csv,2021
193,Lost Illusions,"$7,248,237",-,-,"$7,248,237",100%,2021.csv,2021
194,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%,2021.csv,2021
195,Water Boys,"$7,200,000",-,-,"$7,200,000",100%,2021.csv,2021
196,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%,2021.csv,2021
197,Contra,"$7,099,187",-,-,"$7,099,187",100%,2021.csv,2021
198,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%,2021.csv,2021
199,Extinct,"$6,927,641",-,-,"$6,927,641",100%,2021.csv,2021
200,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%,2021.csv,2021
1,Water Gate Bridge,"$480,028,494",-,-,"$480,028,494",100%,2022.csv,2022
2,Too Cool to Kill,"$217,000,000",-,-,"$217,000,000",100%,2022.csv,2022
3,Scream,"$129,768,594","$74,568,594",57.5%,"$55,200,000",42.5%,2022.csv,2022
4,Jackass Forever,"$50,382,462","$40,105,833",79.6%,"$10,276,629",20.4%,2022.csv,2022
5,Death on the Nile,"$37,949,499","$17,032,346",44.9%,"$20,917,153",55.1%,2022.csv,2022
6,The 355,"$26,291,706","$14,529,065",55.3%,"$11,762,641",44.7%,2022.csv,2022
7,Moonfall,"$24,949,833","$16,285,954",65.3%,"$8,663,879",34.7%,2022.csv,2022
8,Uncharted,"$21,500,000",-,-,"$21,500,000",100%,2022.csv,2022
9,Marry Me,"$20,635,930","$12,021,930",58.3%,"$8,614,000",41.7%,2022.csv,2022
10,Redeeming Love,"$9,128,793","$8,948,695",98%,"$180,098",2%,2022.csv,2022
11,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%,2022.csv,2022
12,Super-héros malgré lui,"$7,375,119",-,-,"$7,375,119",100%,2022.csv,2022
13,Wunderschön,"$6,300,000",-,-,"$6,300,000",100%,2022.csv,2022
14,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%,2022.csv,2022
15,Adieu Monsieur Haffmann,"$5,602,844",-,-,"$5,602,844",100%,2022.csv,2022
16,Blacklight,"$5,060,238","$4,772,866",94.3%,"$287,372",5.7%,2022.csv,2022
17,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%,2022.csv,2022
18,Between Two Worlds,"$4,847,590",-,-,"$4,847,590",100%,2022.csv,2022
19,Waiting for Bojangles,"$4,405,010",-,-,"$4,405,010",100%,2022.csv,2022
20,Vaillante,"$4,082,190",-,-,"$4,082,190",100%,2022.csv,2022
21,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%,2022.csv,2022
22,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%,2022.csv,2022
23,Beautiful Minds,"$2,784,162",-,-,"$2,784,162",100%,2022.csv,2022
24,Chia Khoa Tram Ty,"$2,597,972",-,-,"$2,597,972",100%,2022.csv,2022
25,The Beatles: Get Back - The Rooftop Concert,"$2,130,269","$930,269",43.7%,"$1,200,000",56.3%,2022.csv,2022
26,Promises,"$2,101,180",-,-,"$2,101,180",100%,2022.csv,2022
27,The Young Lovers,"$1,816,970",-,-,"$1,816,970",100%,2022.csv,2022
28,Chuyen Ma Gan Nhà,"$1,795,484",-,-,"$1,795,484",100%,2022.csv,2022
29,The King's Daughter,"$1,730,793","$1,730,793",100%,-,-,2022.csv,2022
30,Hridayam,"$1,713,508",-,-,"$1,713,508",100%,2022.csv,2022
31,Aslan Hürkus Kayip Elmas,"$1,685,827",-,-,"$1,685,827",100%,2022.csv,2022
32,"8 rzeczy, których nie wiecie o facetach","$1,554,861",-,-,"$1,554,861",100%,2022.csv,2022
33,Gierek,"$1,531,831",-,-,"$1,531,831",100%,2022.csv,2022
34,For Ziko,"$1,446,445",-,-,"$1,446,445",100%,2022.csv,2022
35,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%,2022.csv,2022
36,Nhà Khong Bán,"$1,216,452",-,-,"$1,216,452",100%,2022.csv,2022
37,The Beatles: Get Back,"$1,214,743",-,-,"$1,214,743",100%,2022.csv,2022
38,Swingers,"$1,139,284",-,-,"$1,139,284",100%,2022.csv,2022
39,1990,"$1,071,242",-,-,"$1,071,242",100%,2022.csv,2022
40,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%,2022.csv,2022
41,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%,2022.csv,2022
42,A Radiant Girl,"$1,012,800",-,-,"$1,012,800",100%,2022.csv,2022
43,Mali Twist,"$956,475",-,-,"$956,475",100%,2022.csv,2022
44,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%,2022.csv,2022
45,The Souvenir,"$827,620",-,-,"$827,620",100%,2022.csv,2022
46,My Brothers and I,"$825,312",-,-,"$825,312",100%,2022.csv,2022
47,Heart to Heart,"$759,972",-,-,"$759,972",100%,2022.csv,2022
48,Placés,"$759,453",-,-,"$759,453",100%,2022.csv,2022
49,"Love, Sex & Pandemic","$717,052",-,-,"$717,052",100%,2022.csv,2022
50,America Latina,"$693,818",-,-,"$693,818",100%,2022.csv,2022
51,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%,2022.csv,2022
52,Boiling Point,"$651,281",-,-,"$651,281",100%,2022.csv,2022
53,Liubov i blohery,"$650,857",-,-,"$650,857",100%,2022.csv,2022
54,Adieu Paris,"$647,135",-,-,"$647,135",100%,2022.csv,2022
55,Benden Ne Olur,"$639,014",-,-,"$639,014",100%,2022.csv,2022
56,The Grandmother,"$584,217",-,-,"$584,217",100%,2022.csv,2022
57,Bangarraju,"$534,735",-,-,"$534,735",100%,2022.csv,2022
58,Lynx,"$531,572",-,-,"$531,572",100%,2022.csv,2022
59,Zlatni decko,"$516,236",-,-,"$516,236",100%,2022.csv,2022
60,Kaptan Pengu ve Arkadaslari 2,"$488,304",-,-,"$488,304",100%,2022.csv,2022
61,Fireheart,"$486,910",-,-,"$486,910",100%,2022.csv,2022
62,Around the World in 80 Days,"$479,303",-,-,"$479,303",100%,2022.csv,2022
63,The Chef,"$416,658",-,-,"$416,658",100%,2022.csv,2022
64,The Glance of Music,"$350,503",-,-,"$350,503",100%,2022.csv,2022
65,Nitram,"$344,826",-,-,"$344,826",100%,2022.csv,2022
66,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%,2022.csv,2022
67,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%,2022.csv,2022
68,Clean,"$315,448","$315,448",100%,-,-,2022.csv,2022
69,Dilberay Küçük Dev Kadin,"$284,405",-,-,"$284,405",100%,2022.csv,2022
70,Un Rabón con Corazón,"$272,584",-,-,"$272,584",100%,2022.csv,2022
71,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%,2022.csv,2022
72,Last Looks,"$257,630",-,-,"$257,630",100%,2022.csv,2022
73,Secret Name,"$254,609",-,-,"$254,609",100%,2022.csv,2022
74,Naai Sekar,"$237,861",-,-,"$237,861",100%,2022.csv,2022
75,The Best Weekend,"$224,062",-,-,"$224,062",100%,2022.csv,2022
76,Sundown,"$221,725","$221,725",100%,-,-,2022.csv,2022
77,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%,2022.csv,2022
78,Emergency Situation,"$196,534",-,-,"$196,534",100%,2022.csv,2022
79,Super Sharanya,"$187,264",-,-,"$187,264",100%,2022.csv,2022
80,Jang Minho Drama,"$185,373",-,-,"$185,373",100%,2022.csv,2022
81,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%,2022.csv,2022
82,Rosy,"$170,246",-,-,"$170,246",100%,2022.csv,2022
83,Al Gareema,"$167,833",-,-,"$167,833",100%,2022.csv,2022
84,The Grandson,"$164,306",-,-,"$164,306",100%,2022.csv,2022
85,Anka,"$152,402",-,-,"$152,402",100%,2022.csv,2022
86,Arthur Rambo,"$148,312",-,-,"$148,312",100%,2022.csv,2022
87,Pups Alone,"$144,216",-,-,"$144,216",100%,2022.csv,2022
88,Book of Love,"$138,394",-,-,"$138,394",100%,2022.csv,2022
89,Jane by Charlotte,"$133,152",-,-,"$133,152",100%,2022.csv,2022
90,Stop-Zemlia,"$131,843",-,-,"$131,843",100%,2022.csv,2022
91,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-,2022.csv,2022
92,Afacanlar: Is Basa Düstü,"$124,628",-,-,"$124,628",100%,2022.csv,2022
93,100 días con la Tata,"$123,609",-,-,"$123,609",100%,2022.csv,2022
94,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%,2022.csv,2022
95,Project 'Gemini',"$105,631",-,-,"$105,631",100%,2022.csv,2022
96,Meppadiyan,"$94,996",-,-,"$94,996",100%,2022.csv,2022
97,Flight 666,"$87,997",-,-,"$87,997",100%,2022.csv,2022
98,Ghosts of the Ozarks,"$81,210",-,-,"$81,210",100%,2022.csv,2022
99,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%,2022.csv,2022
100,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%,2022.csv,2022
101,Shattered,"$70,055",-,-,"$70,055",100%,2022.csv,2022
102,Ghost in Transit,"$69,013",-,-,"$69,013",100%,2022.csv,2022
103,The Last Execution,"$68,529",-,-,"$68,529",100%,2022.csv,2022
104,The Conversation 2021 Re-release,"$65,764","$65,764",100%,-,-,2022.csv,2022
105,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%,2022.csv,2022
106,Panghrun,"$60,244",-,-,"$60,244",100%,2022.csv,2022
107,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%,2022.csv,2022
108,Save the Cinema,"$58,640",-,-,"$58,640",100%,2022.csv,2022
109,Howl's Moving Castle 2022 Re-release,"$54,646",-,-,"$54,646",100%,2022.csv,2022
110,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%,2022.csv,2022
111,Muu Ke Thuong Luu,"$49,344",-,-,"$49,344",100%,2022.csv,2022
112,Sing a Bit of Harmony,"$48,915",-,-,"$48,915",100%,2022.csv,2022
113,Art of the Dead,"$48,621",-,-,"$48,621",100%,2022.csv,2022
114,Sewing Sisters,"$47,588",-,-,"$47,588",100%,2022.csv,2022
115,Mr. Landsbergis,"$46,298",-,-,"$46,298",100%,2022.csv,2022
116,La notte più lunga dell'anno,"$46,124",-,-,"$46,124",100%,2022.csv,2022
117,Cow,"$45,678",-,-,"$45,678",100%,2022.csv,2022
118,Fortress,"$45,617",-,-,"$45,617",100%,2022.csv,2022
119,Blow-Up 2020 Re-release,"$45,418",-,-,"$45,418",100%,2022.csv,2022
120,Gold,"$45,021",-,-,"$45,021",100%,2022.csv,2022
121,Only Fools Rush In,"$42,872",-,-,"$42,872",100%,2022.csv,2022
122,Ballad of a White Cow,"$42,467",-,-,"$42,467",100%,2022.csv,2022
123,"That Day, on the Beach","$37,482",-,-,"$37,482",100%,2022.csv,2022
124,Nalan,"$33,925",-,-,"$33,925",100%,2022.csv,2022
125,"That Day, on the Beach 2022 Re-release","$33,046",-,-,"$33,046",100%,2022.csv,2022
126,We Are Nothing,"$32,876",-,-,"$32,876",100%,2022.csv,2022
127,Petya na moyata Petya,"$32,209",-,-,"$32,209",100%,2022.csv,2022
128,Fritanga Express,"$31,153",-,-,"$31,153",100%,2022.csv,2022
129,C.I.Ape,"$28,517",-,-,"$28,517",100%,2022.csv,2022
130,Embrace Again,"$27,157",-,-,"$27,157",100%,2022.csv,2022
131,Mariya,"$26,107",-,-,"$26,107",100%,2022.csv,2022
132,Düs Pesine,"$25,416",-,-,"$25,416",100%,2022.csv,2022
133,Shortbus 2022 Re-release (Restoration),"$24,200","$24,200",100%,-,-,2022.csv,2022
134,Yildizlar Da Kayar,"$23,558",-,-,"$23,558",100%,2022.csv,2022
135,Know Fear,"$23,309",-,-,"$23,309",100%,2022.csv,2022
136,Kara Neme: Gelin Deresi,"$23,177",-,-,"$23,177",100%,2022.csv,2022
137,Spravzhnii Santa,"$21,719",-,-,"$21,719",100%,2022.csv,2022
138,Portret neznakomtsa,"$19,968",-,-,"$19,968",100%,2022.csv,2022
139,Nashi deti,"$19,749",-,-,"$19,749",100%,2022.csv,2022
140,The Commando,"$19,253",-,-,"$19,253",100%,2022.csv,2022
141,Candlelight Revolution,"$19,153",-,-,"$19,153",100%,2022.csv,2022
142,A Vanishing Fog,"$17,959",-,-,"$17,959",100%,2022.csv,2022
143,Cumali Ceber 666,"$17,009",-,-,"$17,009",100%,2022.csv,2022
144,Mothers of the Revolution,"$15,730",-,-,"$15,730",100%,2022.csv,2022
145,The Sadness,"$15,375",-,-,"$15,375",100%,2022.csv,2022
146,Lobis,"$15,359",-,-,"$15,359",100%,2022.csv,2022
147,Brighton 4th,"$15,193","$15,193",100%,-,-,2022.csv,2022
148,Olga,"$12,939",-,-,"$12,939",100%,2022.csv,2022
149,Doineann,"$12,175",-,-,"$12,175",100%,2022.csv,2022
150,The Crusade,"$11,490",-,-,"$11,490",100%,2022.csv,2022
151,Friday the 13th 2021 Re-release,"$11,064",-,-,"$11,064",100%,2022.csv,2022
152,Lübbey'in Laneti,"$10,187",-,-,"$10,187",100%,2022.csv,2022
153,Shooter,"$9,204",-,-,"$9,204",100%,2022.csv,2022
154,WarHunt,"$8,953",-,-,"$8,953",100%,2022.csv,2022
155,Catch the Fair One,"$8,661","$7,992",92.3%,$669,7.7%,2022.csv,2022
156,The Pregnant Tree and the Goblin,"$8,655",-,-,"$8,655",100%,2022.csv,2022
157,Broken Keys,"$8,510",-,-,"$8,510",100%,2022.csv,2022
158,My Little Princess 2022 Re-release,"$8,018",-,-,"$8,018",100%,2022.csv,2022
159,Koati,"$7,948",-,-,"$7,948",100%,2022.csv,2022
160,Söhretler Okulu,"$7,638",-,-,"$7,638",100%,2022.csv,2022
161,Dzhigalou,"$7,578",-,-,"$7,578",100%,2022.csv,2022
162,Ubit bossa,"$7,565",-,-,"$7,565",100%,2022.csv,2022
163,Zayed 9,"$7,273",-,-,"$7,273",100%,2022.csv,2022
164,Mark Hunt: The Fight of His Life,"$7,259",-,-,"$7,259",100%,2022.csv,2022
165,Deadlock,"$6,491",-,-,"$6,491",100%,2022.csv,2022
166,Detours,"$6,487",-,-,"$6,487",100%,2022.csv,2022
167,Mer Baky 4,"$6,040",-,-,"$6,040",100%,2022.csv,2022
168,Italian Studies,"$5,895","$5,895",100%,-,-,2022.csv,2022
169,Caged Birds,"$5,828",-,-,"$5,828",100%,2022.csv,2022
170,Jumanji 2021 Re-release,"$5,788",-,-,"$5,788",100%,2022.csv,2022
171,Last Film Show,"$5,783",-,-,"$5,783",100%,2022.csv,2022
172,Alter Ego,"$5,733","$5,733",100%,-,-,2022.csv,2022
173,Babi Yar. Context,"$5,240",-,-,"$5,240",100%,2022.csv,2022
174,Taming the Garden,"$5,205",-,-,"$5,205",100%,2022.csv,2022
175,Carona,"$5,123",-,-,"$5,123",100%,2022.csv,2022
176,Disobedient,"$5,068",-,-,"$5,068",100%,2022.csv,2022
177,Out in Force,"$5,022",-,-,"$5,022",100%,2022.csv,2022
178,Sila Nerangalil Sila Manidhargal,"$4,991",-,-,"$4,991",100%,2022.csv,2022
179,Hit the Road,"$4,930",-,-,"$4,930",100%,2022.csv,2022
180,Tokyo Story (Colorized Version),"$4,616",-,-,"$4,616",100%,2022.csv,2022
181,Mission Extreme,"$3,981",-,-,"$3,981",100%,2022.csv,2022
182,Zone 414,"$3,703",-,-,"$3,703",100%,2022.csv,2022
183,Arekalar,"$3,599",-,-,"$3,599",100%,2022.csv,2022
184,The Maid,"$3,475",-,-,"$3,475",100%,2022.csv,2022
185,Abbi Fede,"$2,900",-,-,"$2,900",100%,2022.csv,2022
186,Eduardo and Monica,"$2,468",-,-,"$2,468",100%,2022.csv,2022
187,Canim Dayim,"$2,205",-,-,"$2,205",100%,2022.csv,2022
188,Lines,"$1,977",-,-,"$1,977",100%,2022.csv,2022
189,Gelin,"$1,955",-,-,"$1,955",100%,2022.csv,2022
190,Moraba'A Bermuda,"$1,372",-,-,"$1,372",100%,2022.csv,2022
191,Vidhi,"$1,352",-,-,"$1,352",100%,2022.csv,2022
192,Hive,"$1,322",-,-,"$1,322",100%,2022.csv,2022
193,Night Raiders,"$1,281",-,-,"$1,281",100%,2022.csv,2022
194,The Girl and the Spider,"$1,261",-,-,"$1,261",100%,2022.csv,2022
195,The Wild Life,"$1,212",-,-,"$1,212",100%,2022.csv,2022
196,28½,"$1,066",-,-,"$1,066",100%,2022.csv,2022
197,Ninjababy,"$1,046",-,-,"$1,046",100%,2022.csv,2022
198,Rowdy Boys,"$1,029",-,-,"$1,029",100%,2022.csv,2022
199,Asterrarium,$772,-,-,$772,100%,2022.csv,2022
200,Estado impuro,$514,-,-,$514,100%,2022.csv,2022
